date,lowest_temp,highest_temp,weather,city
2015-01-01,4.0,9.0,1,ankang
2015-01-02,1.0,12.0,1,ankang
2015-01-03,3.0,13.0,1,ankang
2015-01-04,6.0,10.0,1,ankang
2015-01-05,4.0,8.0,0,ankang
2015-01-06,2.0,12.0,1,ankang
2015-01-07,3.0,10.0,1,ankang
2015-01-08,2.0,12.0,1,ankang
2015-01-09,0.0,12.0,1,ankang
2015-01-10,0.0,11.0,1,ankang
2015-01-11,4.0,8.0,1,ankang
2015-01-12,2.0,10.0,1,ankang
2015-01-13,4.0,12.0,1,ankang
2015-01-14,3.0,10.0,1,ankang
2015-01-15,1.0,11.0,1,ankang
2015-01-16,1.0,8.0,1,ankang
2015-01-17,0.0,10.0,1,ankang
2015-01-18,0.0,10.0,1,ankang
2015-01-19,2.0,11.0,1,ankang
2015-01-20,1.0,12.0,1,ankang
2015-01-21,0.0,13.0,1,ankang
2015-01-22,1.0,11.0,1,ankang
2015-01-23,4.0,7.0,1,ankang
2015-01-24,5.0,9.0,1,ankang
2015-01-25,4.0,9.0,1,ankang
2015-01-26,3.0,7.0,0,ankang
2015-01-27,0.0,2.0,0,ankang
2015-01-28,-1.0,2.0,0,ankang
2015-01-29,-1.0,4.0,0,ankang
2015-01-30,0.0,4.0,0,ankang
2015-01-31,0.0,7.0,0,ankang
2015-02-01,0.0,6.0,1,ankang
2015-02-02,1.0,9.0,1,ankang
2015-02-03,0.0,10.0,1,ankang
2015-02-04,0.0,11.0,1,ankang
2015-02-05,0.0,12.0,1,ankang
2015-02-06,3.0,12.0,1,ankang
2015-02-07,-1.0,12.0,1,ankang
2015-02-08,2.0,13.0,1,ankang
2015-02-09,2.0,13.0,1,ankang
2015-02-10,1.0,17.0,1,ankang
2015-02-11,1.0,17.0,1,ankang
2015-02-12,1.0,17.0,1,ankang
2015-02-13,6.0,14.0,0,ankang
2015-02-14,7.0,16.0,0,ankang
2015-02-15,3.0,19.0,1,ankang
2015-02-16,3.0,19.0,1,ankang
2015-02-17,7.0,13.0,1,ankang
2015-02-18,6.0,11.0,0,ankang
2015-02-19,5.0,9.0,0,ankang
2015-02-20,2.0,14.0,1,ankang
2015-02-21,5.0,11.0,0,ankang
2015-02-22,5.0,11.0,0,ankang
2015-02-23,4.0,13.0,1,ankang
2015-02-24,7.0,12.0,1,ankang
2015-02-25,5.0,11.0,0,ankang
2015-02-26,6.0,11.0,0,ankang
2015-02-27,4.0,6.0,0,ankang
2015-02-28,2.0,12.0,1,ankang
2015-03-01,2.0,11.0,1,ankang
2015-03-02,3.0,12.0,1,ankang
2015-03-03,5.0,10.0,0,ankang
2015-03-04,2.0,6.0,0,ankang
2015-03-05,3.0,12.0,1,ankang
2015-03-06,3.0,15.0,1,ankang
2015-03-07,7.0,20.0,1,ankang
2015-03-08,6.0,18.0,1,ankang
2015-03-09,7.0,15.0,0,ankang
